y;message
0;Blaine Jungwirth Afrika Bambaataa The EFC is kind of BS for grad school went straight through so they still looked at my parents resources Unfortunately my college graduation present from pops was firm handshake and the you re man now you pay it for moment 
0;Most bankruptcies take months or years to resolve GM took few days 
0;Never mentioned race moron It high crime area no matter what race you might be 
1;Judging by your prior posts listed in your profile you are piece of foul white trash What kind of animals raised you 
0;Lebron isnt weak he just doesnt hit free throws down the stretch close out games passes up the last shot and if he isnt up by or more with smiley mins left they lose he is considered the best reg season player but playoffs belong to kd and kobe every year 
0;Fucking hot 
0;bullchit using scat phrase in your chittyhonor Obama and his handlers namely Axelrod have incorporated bin lladen as mythological enhancement to your communist hero fading image Your are not only full of it unhinged and repulsive you are LIAR 
1;RYAN GO BACK TO SUCKING YOUR MOTHERS TEAT BOYWONDER 
1;Your are an idiot 
1;Very sorry mentioned it Just keep bitching here where you are SURE it will amount to nothing 
0;Thought it would be lung cancer 
0;IKR know about them and other close friendship group since long time ago but some fans like BJs SONES never believe in me until now since SONE some of BJ even said don act like you are an Angel like your Angel please TT CASSONEXOTIC WONDERFUL but LOOVE NE esp DARA CL PLEASE SONES BLACKJACKS IGNORE FAKE SONE FAKE BLACKJACK WHO ALWAYS MAKE FIRE FANWAR 
0;Rourke needs to give me fucking like Preparation Does wayne brady need to slap bitch 
0;What the hell are you talking about 
1;Uh Guest using uh doesn make you sound intelligent or superior it makes you sound like the moron you always prove yourself to be In your case you should spell it duh 
0;XxTheBossxX which one there 
0;Let get nasty Damnit Doc thats what you need to say 
0;am sorry Mr Ramsey your race card has been declined you are over your limit 
1;Well done chubbs wish was as fat as you 
0;She isn THAT annoying give her break that low blow 
0;Every fu cking bump is foul when you guard LeBron 
0;how about trying this have your kids come home before am say about pm he is take responsability for your kids 
1;you are wrong beside stupid asshole was production supervisor in printing company indetroit making usd and spent all my life in printing now am years old and still working part time in printig company in detroit and never worked in liquor store 
1;What selfish slutbag That fucking fat ass chubby cheeked bitch probably got mad because her precious baby boy was hungry How DARE he eat food Not only do children require food to grow and become helathy adults but this bitch probably fed them HoHo and Twinkies can just hear her now Get off my food you little shit That MY MotherFucking Twinkie Momma got the munchies Then WHACK with fucking hammer What cunt 
1;Your mother should have had an abortion and thus none of us would be subjected to your stupidity tonight 
0;Manu was cleared by doctors for minor basketball work with his hand 
0;bet you bitch like hell about you taxes too Keeping people in jail is not cheap 
0;robert moroni you fuckin dimwit do you know what parody is It fuckin parody of fox news and it sounds accurate to me 
1;to dummy scummy adam caith stop twisting history you despicable fool you are soon choking with your own lies 
0;Now you re making me hungry 
1;dntchu go suck dick sme whrr else hoe 
0;Just can stand the truth can you Either that or you are truly enjoying your blissful ignorance 
0;You would look beautiful 
0;OMFG HAVE SEEN IT ON TV THOSE POSSITIONS OMG OMFG WILL DO ANYTHING TO BE TRAINED PERSONALLY BY MY ULTIMATE BIAS OH DEAR FUCKING INDEED FUCKING GOD 
0;Shultzmaker of you are making mistake don be follower Just sayen Boston loses by DD tonight more User ID smiley Hours Ago Like Reply Quote Flag Edit ShareTell Your Friends ShultzmakerHeat to more User ID smiley Hours Ago Like Reply Quote Flag Edit ShareTell Your Friends sefersonoh ok mr smiley dimes didn know any books accepted smiley cent bet guess with monopoly money it doesn matter more fans like this User ID smiley Hours Ago Like Reply 
0;Question Are you boy or girl 
0;shearnut that you may be correct do not like people who want to destroy America smiley 
0;If your poor how do you become overweight 
0;Esther Sussman the coffee candle you always wanted Apparently the heat from the candle gives off coffee smell 
0;TRUTH niggas still going platinum so dont want to hear bootlegging killed your album You album didnt sell cause its wack 
0;Cat can only catch your tongue when you are advocating what is unwholesome 
0;Los Angeles Kings smiley New Jersey Devils goals on the minute powerplay The dumb shit that took the charge may have just caused the Devils the cup 
0;Looks like You Sarah 
1;And nobody partially gives fuck about you or your gaRbage state 
1;Learn reading comprehension Sure Urlacher is above average maybe even great as said he the Dick Butkus of your time In response to the it takes team comment just add that it is further proof that the Bears suck As for Chicago and politics do you really need to be told about the Chicago way It influences everything even your crappy organization called the Chicago bears 
0;You don want president you want God Presidents can walk on water they can only work with their legislation and it so happens that they re Rightwing fanatics 
0;shooting and action motherfuckers 
0;If you are talking of the entitlement of Social Security because of its insolvency the moneys stolen by President Johnson should be paid back first The problem isn entitlements those dollars get recirculated back into the economy The problem is all the bogus creation of agency and contracts under some pretext so all these unnecessary agency can rape Americas Tax coffers Its CONTRACTS CONTRACTS CONTRACTS that are Americas problem then there is the FEDERAL RESERVE SCAM 
0;think may have something in my eye 
1;When your species finally evolves then we can talk until then you are nothing more than common pet 
0;Okay here comes the question that could really blow this thing up Given that WH never manifested anything that suggested that she had drug problem before she met Bobby Brown and she did manifest thereafter to what degree could BB find himself culpable in criminal or civil court in the death of WH if the toxicology tests determine that drugs contributed ton her death 
1;Your still loser man we must have really gotten under your skin lol 
0;Joe Rogan is one naive mother fucker 
0;Besides he can rescind all of Obama directives on his first day on the job 
0;The laughs you two heard were triggered by memories of his own high flying exits off moving beasts 
0;You take the money represent the child molester and hold your nose You don try to look like you re enjoying it 
0;fuck harry potter 
0;FamousOriginalLucas poor ian 
1;you sound like rain man 
0;The KK The Klu Klux Klan the military wing of The Democratic Party LOL 
0;Android is everything Steve Jobs envisioned iOS to be That why he hated it so much lmfao That was Apples most pathetic update yet that shit should not OS 
0;Rourke needs to give me fucking like LambeauOrWrigley aciddragon Reesy thermos dented Reminds me of killer line from Horrible Bosses Jennifer Anniston horny dentist character reports watching some beefcake guy on TV and fingering herself so hard she broke nail 
0;If your husband is out of work why don you have him get back to those candidates about the status of their applications 
0;wtff is this shit he shot the fuck out for this shit Diz won and only seen this clip of the battle smh 
0;You call me what ever you want We both know you refuse to answer tough questions or get into intelligent debate Everyone that reads your comments know you are not smart enough to debate 
0;you konw what just know bullshit 
0;Obama has spent more in smiley years than Bush did in Budget chief Jeffrey Zients is full of BS If wanted to watch horse ass drop load of dung go out to the farm 
0;Megapixel Picture Quality LCD LED in terms of power comsumption on smartphones Colors fidelity LCD LED you argue about blacks and you forget all the other colors 
1;The easy part about Walker pissing me off is he arbitrily takes away bargained for right Then sits back while people like you who know nothing about unions do his dirty work for him Why enjoy being pawn 
0;Yes you are correct and in not too disimilar packaging too 
0;can not believe Americans are so stupid fat and lazy You sit around in your lay boys watching football and listenening to your ipods that you don even care that the Country your grandparents and great parents DIED to protect is eroding away because of evil liberals never would have even called Representative in this case school health inspector would have had their ass handed to them and then the school principle too For even HAVING such useless position in the first place Who has time to inspect kids lunches and who has to pay person to do that at ANY school It time for you idiots to vote out these libs and elect hardcore Conservatives across the board Who cares who is President if you don have Conservative House and Senate 
0;Bath Salts Gosh But seriously bath salts come in mg packets Most of the idiots taking that shit don realize you are only supposed to take mg at time most of them take it all at once This leads to some seriously seriously fucked up people doing some seriously fucked up shit And they aren even close to being banned in most states yet Do yourself favor and stay the fuck far away from that shit 
0;Time to jump off the bridge and end this embarrassment Thanks 
0;They are only covering it because CBS has been for over six months They can look as if they ignored the story CNN ratings are already bad enough 
1;And so Dummy Bob is there reasoned foundation for you post that is other than nonsense 
0;please go study up on Bain hav you ever heard of staples Dominos pizza Sporty authority The fact that you have no idea what you post does not stop you sure hope you are too ypung to vote because you dont have any idea 
1;ok going there and going to be ignorant like you and the other dum asses that reply stupid racial rematk about afraican american blacks negros at least black people kill other people white people eat them 
1;Jimmy produce ANYTHING of ANY value that ANYONE wants or needs and you ll find SOMEONE willing to trade with you for SOMETHING you want or need It very simple Tip of the day whining is worthless 
1;Some of the comments read here are so so lame White people just want the world to be so fair now But over the course of their hundreds and hundreds of years of opression death and fear it was ok American White people hung people cut off their private parts and took pictures with their kids and family around these dead bodies singing in the wind truly sick mind state your kids They created tricks and illegal laws and rules to get ahead in America for hundreds of years they raped and killed destorying families and now because person makes choice to go to all black school where teacher ca see black student for themselves or gets interview when white doesn its reverse racism WHITE PEOPLE until you lived another history stop crying and get off your high horse 
0;Trust me she is bitch and awesome and cool and opinionated and strong and not afraid of being judged and beautiful She FOR REAL What you see is what you get Not some cardboard superficial bullshit hope you like this type of blog entertainment Who puts My blog will melt your face off but still gets laughs and votes It entertainment and what you expect from typical design blogging aka edu tainment think it good love it And don know shit about design 
0;Mitt created jobs Mitt created thousands of jobs Mitt created net plus in jobs 
0;Come back to reality Barry wasn mentioned in the article You re seeing ghosts that aren there 
0;only little dick niggas appreciate virgins 
0;Where are you going with this 
0;He must be you little buddy or you would look at the facts 
1;ridiculous article IGN this is just so stupid it hurts 
0;HAHAAHA THEY ARE TRYING TO BANN CATS CAUSE EVERYONE IS GETTING HIGH WHEN THEY SPRAY 
0;Irony is not in most conservative vocabulary 
1;You are fucking idiot 
1;Shitbagger go fuck your mother up the ass without lube 
0;RON PAUL is SCARY WRONG 
0;Not unless you are Mormon in good standing 
0;Then do it when the law says to 
0;They want big business to be successful only until they have to pay for that success 
0;DiBrubaker lkissler always love my MT peeps and anyone else who crosses my path virtual Real but tech never trumps us meeting in person 
1;Stop crying fans your time is up 
1;Well said That you re all mouth and no facts has no bearing Keep repeating it though Eventually you ll convince other idiots that you know something 
1;What are you Homeschooled 
0;If we were in someone else country would understand why the Principal did this But this was done right here in America So Principal Greta you did not want to offend those foreigners who are NOT citizens of this great Nation because of Political Correctness and Cultural Sensitivity Will bright girl you just offend over of the Americans and the American Culture What about our Culture Principal Greta Foreign culture takes precedence over American culture on our own soil now 
1;Looks like that little Cut paste job has gotten little dog eared Maybe its time for fresh look at the facts Oh shit forgot facts are fungible in your world 
0;To the Chelsea fan Yes liverpool spent Mil Mil in which you gave us smiley so we spent Mil on players bargain ehy but your team mil plus for pentioners LOL 
0;teach your children TO be parasitical glommer onner worthless vile wretched puke who does not create thing but who loves to lie swindle cheat its way into possession of the works of others and then take over their lives and tell them what is best for them even if they must slay innocents to do it takes special kind of criminally insane hysterical pig freakery that can only be summed up in one word democrats 
1;thats crazy if eat pussy then so be it but FACT is dont IN YOU gay ass DO FUCK OUTTA HERE BITCH 
0;Oh my god totally forgotten about that lol but holy shit that is so fucking funny lol 
0;Yes Now we re talking Lots of good ideas But many think would be rejected as tax increases by republicans And lobbyists would fight them all and congress on both sides would fight them Do you think Romney orobama would be be more open to your proposals 
1;Yes his first term is and it on to his nd Time to get the nails out of your brain so that you can think clearer 
0;Votto was in our farm before Krusty ever came here So was Bruce and Cueto Phillips was here too but not from our farm you idiot 
0;CAN TYPE HOW WANNA DONT GIVE FUCK TRYNNA GET ATTENTION DONT GIVE FUCK THATS WHAT PEOPLE NEEDA KNOW BOUT ME DONT GIVE FUCK LOL 
1;so are your sisters 
0;Dick Zinya steps up to microphone Tap Tap Tap DICK ZINYA nbsp BULLSHIT Dick Zinya walks away nd Scene 
0;thats pathetic flop fuck you jvg 
1;IM NOT THE MORON THAT TRIED COMPARING THE TWO TEAMS ITS IMPOSSIBLE TO COMPARE you asked answered think the Celtics in the are better than this Heat team can prove it nobody can Grow the fuck up 
0;Don be fucking asshole don strike up awkward conversations with strangers on the subway 
0;kikwang isnt in the mv or are you talking about something else 
0;DAMN YOU GUYS WOKE UP BABY BRON BRON AND NOW HE CHOKING 
0;And the whole universe is being slowly sucked into black hole in space see how it all works now we are all fucked no matter how or what we do in life life is rigged to work against us all we cant win no matter what we do we are all hand string puppets being slowly tortured our whole lives till we are dead by some force out there we can not control 
0;You must be very proud to say your team won smiley years ago Go Devils 
1;You don intimidate me you two bit bully go fudge yourself you low life low rent douchebag 
0;Thank you very much for your work 
1;You re both couple of homos 
1;Your pussy Stop hitting woman and fight me bitch ass nigga 
0;Sadly its not just NJ The whole visa system is rotten from head to toe and hopelessly broken There just arent enough people out there to investigate all the complaints and abuses that are so prevalent in the visa system and so it has become place of widespread fraud abuse dehumanization and exploitation Sadder still is that companies dont realize that when they hire visa holders that they are helping to contribute to the problem NJ just so happens to have stumbled across the tip of the iceberg 
0;not to mention all the LAME BROTHER IN LAWS she ll be getting 
0;maybe can just fuck off and leave traditions alone bitch 
0;Allan Evans some who actually pay to see you More fool them if they disagree with his tax status 
0;What going on with Brown is systemic in the Right Wing Fascist Party They don tell the truth and about half our citizenry are too fucking stupid to check them out They ll swallow whatever they spew and never question it 
1;STFU you absolute dumbass ho bag Bush playing golf and Cheney forbidding pictures being taken of US soldiers caskets coming home was probably just great as far as you re concerned When you re out watering your tree of liberty try watering your tree of intelligence too Maybe one day it will sprout and get you above IQ 
0;Your comment shows how absolutely little you know 
1;Oh my god You are dumber than box of hair 
1;Congratulations you are COMPLETE idiot now go back to smoking your hopium 
1;Can you smell the desperation They see it all slipping away Hate doesn sell like it used to Sure you can encourage encephalitic headed goobers to throw acid on women and it might just happen Sure they might feel good for few days high fiveing each other But the excitement wears off and then they have to face themselves in the mirror Howdy Piece of Shit how are you today Aww why the sad face You still have months until it over Give it your hateful best Crosshairs worked good in Arizona Maybe go that route 
1;your mom smells like fish 
0;Remember all the haters screaming to get rid of Blanton before the season Where are they now Not so fat Joe is pitching his pudgy lil heart out oh and guess what this team is starting to hit another thing the haters like to dwell on where are they now All you Chollie bashers ain showing your butts now are you Whatsamatter Seeing the faithful faith in this team is well deserved by them Gotta luv the paper fans gotta luv them get the hell off of our bandwagon you wannabe so calle fans 
0;They do that Even on channels with old tv shows Ep for example 
0;liked the Cersei arc in book the rest of it was fairly forgettable 
0;Justin totally think you are right because if someone talks crap about me don care But if someone started talking crap about my family or friends or someone look up to like you would say that not cool But if someone touched me would do what they do to me put harder Because don believe in fighting for no reason do not fight but for the real reasons only 
1;no liberal you cocksucker just not so stupid fucker as to shoot kid going for candy You re puzzy that is scared of shadows 
0;You are absolutely right 
0;Very worthwhile website page merely got very little to do thus simply killing time searching the internet and feel as if ve stumbled upon some really practical web site Thank you so much 
0;know This room is the equivalent of hooker acting offended when you pull your penis out 
0;see you play you little insult games with other posts 
1;Notheism Are you serious How can you say this is revenge The rapist was caught in the ACT understand your ignorance but for god sakes pick up dictionary 
1;Your dumb This is clear case of self defense One day you will be in situation where your glad someone was there to protect your pu ass just like Zimmerman protected his own All evidence clearly points to an act of self defense 
0;Ouch wouldn call her turd jeez mean she is not very talented actor or model but she isn turd 
0;like her If you get into her court and be polite and act like you got some common sense then she okay But if you go into her courtroom acting like jackass God help you Damn with kids 
0;This is an example of what is wrong with America 
0;its all fun and games til someone goes blind 
0;You know couple of young apes took her to abuse her Only hope she comes back in one piece 
0;The quote above states the following And her refusal to endorse candidate she noted on Fox News Sunday that she was not convinced Romney was true conservative has only increased speculation that she simply biding her time until After watching Sarah incredible speech at CPAC it seems to me that perhaps there is some truth to this assessment Since she has been and still is THE VOICE of the working everyman woman Maybe she is bidding her time figuring the establishment will blow this election again with mushy middle of the road Republican If Obama wins it will FINALLY unmask the establishment as losers If Romney wins he will Govern as major RINO and she could primary him Not sure if that is her plan or not The only downside to that is will be much tougher GOP field still believe her time was NOW If you would have told me after her Sept smiley rd speech that Sarah would have sat it out and RIck Santorum of all people was beginning to beat Romney would NEVER have believed it not one of these folks that believes in the unelectable meme But if there was person would have thought would have fit that bill it would have been Rick Santorum It just goes to show once again what could have been with Sarah in the mix If RS can do it wish her and her family nothing but the best life has to offer but still believe she might have missed her best chance BUT it clear from CPAC that conservative still love her there is always hope But so wish could have voted for President Palin in 
0;This is the same Obama who slandered GHW for an Executive Privilege claim 
0;Ha ha ha poznata pedercina sa juzne tribine kaze da ce popusiti Vermezu kurac kao stara dobra vremena Sunce ti zareno pa on svoju nastranost izoblicenost ne skriva nego javno trazi da mu se stavlja usta Fuj kakva droljetina 
0;wonder if that stand up in court He might have killed someone but fuck me he can play cricket He was prick 
1;Garbage overload Stop it Peasemold you re confusing yourself never heard so much old shit in my life 
0;AHA see auntyred has finally left her kitchen sink to comment Stupid ones at that As usual 
0;bosh is ready they just dont need him to play 
0;Blaine Jungwirth definitely thought that only deserved but hey takes what gets 
0;Thunder have trash bench take away harden what games be watching 
1;suck dick pussy ass nigga bitch 
0;hope you two get in the same situation enjoy your prison time murderers 
1;EVELYN WE NEW YOU WERE TRASH IN THE BEGINNING BUT AS THE SHOW GREW YOU GOT OUT OF CONTROL AND REALLY SHOWED THE WORLD WHO YOU REALLY ARE TRASH TRASH IS WHAT YOU ARE AND YOU AND CHAD ARE DESERVING OF EACH OTHER YOU ALL ARE FROM THE SAME FLOCK 
1;hey bete sounds like gay fucking faggot stfu ghetto ass idk if are Ethiopia or nor but thats how it works in ethiopia 
1;are you stupid If there twins there both you moron You want to know how many minutes apart they are Does it matter Your just as stupid as them are you related 
0;They are on the level of crazy truthers and moon landing deniers now 
1;Nobody sube due your mother and she is big lip watermelon eatin Baboon 
1;Fuck Fuck Fuck you Mawe 
1;Hey CNN this is what you get when you serve as Obama whore Don you realize he is Pimp Daddy and has NO loyalty to you how about just straight line reporting the news You guys are like sophomoric dummies doing class project your reports are laughable 
1;please tell me you tried to spell Rondo in your username you seem like dumb fella 
1;Really Police wouldn use tear gas on white man wanted for smiley counts of capital murder You are such fool 
0;MrRobP think this conversation honestly just boils down to matter of opinion like Burton Batman too but felt he changed so much as well to fit his gothic style Just like Nolan changes lot to fit his realism edge dont want ultra realism for all comic books just feel it really works for Batman Plus like more mature movies and the darkness in this series really makes me believe that these people can exist out there When saw TDK an aspect that made it so mezmerizing and great for me was that can truly believe that man like Ledger Joker is out there somewhere idk but it made the experience of that film so visceral But that approach wouldnt work for Spiderman or Avengers or basically all other superhero movies Nolan Batman gives the audience something no other superhero movie can give One that can honestly happen and that makes it more fantastical in my opinion 
1;Have you ever been though hurricane moron Its lot more than just little rain guess when you get hit with the worst case scenario you can be on your own Good luck 
0;know we were without Kadri and Frattin etc but Norfolk played almost the same amount of games as us they would be just as banged up 
0;and it get better coming back to the page the fucking Autoplay is ON AGAIN 
0;Been there done that got the shirt Posting here is part of the counseling for my parole Thanks for caring though 
0;mandingo just stop now you are claiming cotto has no balls go learn the sport 
1;Would someone who regurgitates and parrots the sheep line from the tape recording really understand 
0;Because that is how they get their rocks off Our government is run by pedophiles who sexually torture children 
1;Fact Radical Comic Creator is written with Real Basic You have argued against this fact Please go to the project page on Github and see for yourself Fact Lunduke has now consumed worth of time has begged for additional money for hardware and has not delivered on his promise as of yet Fact You think that am an ignorant hillbilly though you frequently insert symbols into your responses and use improper numerology when describing number You habitually forfeit grammar and partially form words In addition to that your stream of consciousness is collection of poorly constructed sentence fragments In short your English sucks dick Fact You think that the Internet is the only place where you have freedom of speech on the Internet and in America and just said whatever the fuck wanted to implore you to argue these facts directly 
0;you know what would be fun If you guys talked crap back to us more entertaining 
1;you are stupid 
0;ll stick tea bag up your azz 
0;Today is great day to be an American now we stand here one step closer to the dream of liberty and justice FOR ALL CITIZENS regardless of race religion gender or sexual orientation We will win this war for our equality take look at the polls my generation is overwhelmingly on the side of marriage equality Anti gay bigots are becoming the minority and quickly But don worry you guys promise we wont treat you bigots as badly as you treated us Now that would just be cruel LOL down smiley to go 
1;It because you re an Obama slave 
1;don care how you feel don care what you think about me am in fact the rational one in this conversation and you continued display of stupidity is more evidence of your blind allegiance to true source of change you poltroons think we need is Marxism You idiots are plunging headlong to your own destruction and laughing and cheering about it you pitiful pathetic spectacle 
1;You sir are ron 
0;Otra historia estaria contanto el senador Escalona si en el Binominal no ubiese estado la UDI RN con un smiley de los votos de la epoca obtuviera de los esca os de diputados en el senado no Ubiesen estado los senadores designados Quienes han protgido entonces la mal llamada obra de la inequidad en Chile entonces los mismo que hoy nos gobiernas pues los cuorum para cambiar leyes economicas debito fiscal tenian que pasar por cierto por RN La UDI Que mala memoria de los que bomitan odio balas en este foro 
0;Thunder down after the spurs sweep 
1;nealcity Are you employed By whom You re talents are wasted at whatever you do sure of it lulz 
0;SlimShadyzz yeah you are so number in terms of stupidity who cares when you re the first one to post smiley 
0;Nickelback riot is when their two fans get into an argument 
1;Keep telling yourself that you dumb tea maggot The only true racists left are turds like you and your worthless tea maggot friends 
0;This week the Obama funded solar company went belly up Energy Conversion Devices managed to blow smiley million in tax credits before filing for bankruptcy Reuters reported Lightweight solar product maker Energy Conversion Devices Inc filed for bankruptcy protection on Tuesday the latest in string of solar companies that have collapsed in an industry shakeout The company whose filing follows years of losses and months of public discussions with bondholders said it would sell its United Solar Ovonic unit and other assets in bankruptcy Energy Conversion whose solar laminate products are used for panels on rooftops and buildings said it would continue to operate during the sale process Of course Democrats praised the company as one of his solar success stories before they tanked Read more at Gateway pundit 
0;Kwaartz do yourself favor Go to Africa and look at the cultural achievements there before the white man came no wheel no reading or writing no bridges no buildings other than mud huts that look like bird nests Then tell me if you are proud of your African culture Far better to be proud of US culture methinks 
0;Possibly but you are not that anyone 
1;Jeff Bootstraps Fisher is troll anyone feel free to add to what you think of him 
1;Are you guys fucking retarded you re trying to take pictures of these girls you guys are worse than the scum of the earth 
0;like the cover that is keyboard Good idea Hopefully it will be better than the nokia windows phone Okay but not great 
1;odd you post this you critize me every day via email via pinterest via twitter wherelse via south station btw everyone there are just as big of losers if they condone your relationship with married man whore 
0;Why not They used flame throwers in Aliens 
0;Or Rampage You need little danger in your life right 
0;shit its saturday night 
1;Then don watch it loser 
0;Go back into hiding Bush America still hasn gotten over your failed presidency 
0;How can you put creation in philosophy It has no fucking logic Creation doesnt belong in philosophy 
0;wxcraig Sheep Me hasn been posting all day and nobody was talking about RDB You just appeared out of no where Giggity and started attacking him for nothing fans like this Seconds Ago ing Loving This Reply Quote Flag 
0;Umm Joey THE LION SHARE OF THOSE OLD RACIST FAT WOMEN HATING WHITE HOMOPHOBIC BAGGERS ARE TRANSPLANT FROM THE VERY LIBERAL VERY VERY DEMOCRATIC NORTHEAST Soo That means that Democrats are old racist fat women hating white homophobic baggers And since you just outted yourself in an earlier comment it apparent that you certainly know these transplanted Democrats on biblical basis need pillow to sit down on Joey You are soo easy to slap around So pathetic so worthless 
0;there you are had to unfollow then follow you again to see your pins 
0;If eating pussy gives you hair on your chin then Harden must ve ate the whole WNBA out 
0;Hasn everyone had least minor flirtation with teacher don know it not all that scandalous to me If you were underage it was simply criminal 
0;Wow that certainly puts things in perspective Mary thoughts prayers are with you 
1;Can you post statement without using the word idiot Try being little more eloquent with your retorts or just start pulling the wings off of flies to while the hours away 
1;How about you stfu If this was seriously depressed person he would have tried to kill himself already Your comments are always crappy and full of negativity Stop 
1;you are really stupid 
0;No you re getting played like fiddle 
0;Really what games are you watching Let me know when your sitting games back cause your about to face us and bust you down to games back 
0;Lol Ralph you are the guys who are still in Moi era 
0;oisin good spot and to celebrate his th birthday here some of his best jokes 
0;think you are confusing the way things are with the ways things should be Operations is everyone responsibility but it should not be that way See for more detail Also did not coin the term NoOps it was coined by Forrester in April 
0;If Britney Spears were an unknown she be the first person booted off this show or any singing show Her voice could kill small animals 
0;If Romney gets first term we will be in exactly the same spot you have this fantasy that the politicians and parties run this country the true power lies with the NSA and CIA the president is nothing but figure head 
0;JoshXdLozano MAFYOSO if you give me your email will email it to you if you don have it on your idevice 
0;You calling others ignorant assholes HAHAHAH that is fucking joke 
1;You re intellectually challenged 
1;Lame congress idiots or tyrants debating BULLSHIT there are no terrorists except those who invented terrorism MOSSAD and the Military Intelligence go watch the whistle blower at dormantideas and you will see this congress is completely out of touch or with the tyrants bought and paid for this is no joke Acts that are equal to Hitler Enabling Act of and you debate What the fck are you debating fckng wake up idiots 
0;fox news fc feb baed smiley isqus you hit the nail on the head Illegal is illegal 
1;Too bad your liberal education failed you you are product of the liberal moocher society 
1;What you are jussi is plain old fashioned IDIOT am no fan of the USA any more than am fan of airchair bigot warriors like yourself am talking about the politics inherent in warfare AND made comment as to why Hamas chooses NOW to accept responsibility openly you fool This is the area am trained in political science Not superstition and religiously motivated jargon like you 
0;who so ever you are BRAVO 
0;It is bad can even begin to reflect and do justice to how much damage this program has caused children was dealing with kids in and out of foster care know of many who were abused lots on drugs and alcohol now because of abuses NO ONE CARES give the fosters and close the door if you have working fire smoke alarm and lock up your guns you are GOOD to go 
0;hope the gobbly gooker is unlockable character on wwe 
0;It better to die Facing your enemy than to win hiding in bunker 
1;You re name is ANON stfu 
0;go do whatever pray tell gay atheists do 
0;There aren many people more worried that Obama might lose in November than Beck When you re making millions selling FEAR to low IQ rubes Barack Obama in the White House is very good for business 
0;raze your pathetic Apple orchard to build my majestic Beach House 
0;Just those three the others who beat up Rodney in California aren any better 
0;Nobody gives damn what you want crybaby 
1;Rhett and would NEVER say you re troll 
0;Because none of you guys have called someone or even txted while driving You guys are way to harsh kid was im sure he learned his lesson and feels like shit for taking someones life people make mistakes and he shouldn sit in jail for max sentence 
0;THE FA NEED TO LOOK CLOSELY AT THE VT ITS smiley GAME BAN BALOTELLIS NOTHING BUT TROUBLE 
0;Obama killed bin Laden Who do you want him to kill Or why not just do it yourself 
1;Are you that desperate to try and prove your point that your hunting all of my comments about The Avengers down now You are really pathetic hope you realize that 
1;fuck faggot who the hell are you to call county shit gotta be bastard get your self fucked base born piece of shit 
0;yo DETEESTO esa actitud de NOO ALEJATE EL ES MIO da fuck bro Tan divertido que es sabrosearselos en grupo lanzar frases de alba il 
